stage,brick_remain,catch_count,state,run_sec
3,17,0,FAIL,1.4
4,26,0,FAIL,0.69
2,11,2,FAIL,3.02
1,4,0,FAIL,0.74
5,40,0,FAIL,0.48
3,27,0,FAIL,0.64
4,31,0,FAIL,0.48
5,42,0,FAIL,0.48
2,9,1,FAIL,2.17
1,1,2,FAIL,2.98
4,16,0,FAIL,0.58
5,42,0,FAIL,0.68
3,11,3,FAIL,3.95
4,31,2,FAIL,0.55
1,4,0,FAIL,0.96
2,11,2,FAIL,2.8
5,42,0,FAIL,0.67
3,25,0,FAIL,0.66
4,31,0,FAIL,0.49
1,5,0,FAIL,0.63
5,42,0,FAIL,0.77
3,15,0,FAIL,1.23
2,8,2,FAIL,2.73
4,25,1,FAIL,2.22
1,3,1,FAIL,2.42
5,42,0,FAIL,0.81
3,26,0,FAIL,0.74
2,14,0,FAIL,0.82
4,30,0,FAIL,0.82
5,32,0,FAIL,0.57
1,4,0,FAIL,1.25
2,15,0,FAIL,0.67
3,18,1,FAIL,2.88
1,4,0,FAIL,0.67
5,41,0,FAIL,0.8
4,25,1,FAIL,2.17
3,25,2,FAIL,0.65
2,8,2,FAIL,3.01
5,43,0,FAIL,0.64
4,31,0,FAIL,0.73
1,1,1,FAIL,2.03
2,8,0,FAIL,0.85
3,22,1,FAIL,2.17
1,4,0,FAIL,0.72
4,25,1,FAIL,1.89
5,37,1,FAIL,2.15
2,15,0,FAIL,0.76
5,42,0,FAIL,0.46
4,31,0,FAIL,0.51
1,4,0,FAIL,0.94
3,20,2,FAIL,2.83
2,14,0,FAIL,0.68
5,35,0,FAIL,0.51
4,30,0,FAIL,0.71
1,4,0,FAIL,0.73
2,11,2,FAIL,3.02
1,4,0,FAIL,0.67
3,7,3,FAIL,5.39
5,37,0,FAIL,1.58
4,25,1,FAIL,1.89
2,15,0,FAIL,0.72
3,26,0,FAIL,0.5
1,3,0,FAIL,1.29
4,24,2,FAIL,3.12
1,4,0,FAIL,0.73
2,3,1,FAIL,3.21
3,22,1,FAIL,2.17
5,21,6,FAIL,5.17
1,4,0,FAIL,0.54
2,15,0,FAIL,0.7
3,26,0,FAIL,0.79
5,38,1,FAIL,2.17
4,24,2,FAIL,3.12
1,3,1,FAIL,1.55
3,22,0,FAIL,1.3
2,7,1,FAIL,2.48
5,38,0,FAIL,0.47
4,26,1,FAIL,1.93
1,4,0,FAIL,0.76
3,26,0,FAIL,0.79
5,43,0,FAIL,0.63
4,30,0,FAIL,0.68
1,4,0,FAIL,0.74
2,5,3,FAIL,4.12
3,26,0,FAIL,0.5
1,4,0,FAIL,0.54
4,31,0,FAIL,0.79
5,38,3,FAIL,1.89
2,5,0,FAIL,2.15
3,18,1,FAIL,2.88
1,4,0,FAIL,0.98
5,42,0,FAIL,0.5
4,32,0,FAIL,0.64
2,15,0,FAIL,0.48
3,26,0,FAIL,0.67
1,4,1,FAIL,0.55
4,30,1,FAIL,0.54
2,15,0,FAIL,0.83
5,26,0,FAIL,1.51
3,26,0,FAIL,0.53
1,5,0,FAIL,0.63
2,15,0,FAIL,0.73
3,22,0,FAIL,1.3
1,3,1,FAIL,1.84
4,27,2,FAIL,3.02
2,14,0,FAIL,0.82
5,24,6,FAIL,6.37
1,3,0,FAIL,0.97
2,14,0,FAIL,0.5
5,42,0,FAIL,0.7
4,31,0,FAIL,0.79
3,26,0,FAIL,0.78
1,4,0,FAIL,0.52
2,8,2,FAIL,3.12
4,16,0,FAIL,0.58
5,42,0,FAIL,0.83
1,5,0,FAIL,0.66
3,26,0,FAIL,0.79
2,15,0,FAIL,0.65
3,25,0,FAIL,0.47
1,4,0,FAIL,1.22
4,25,1,FAIL,1.94
2,12,0,FAIL,1.26
2,11,2,FAIL,3.02
5,11,11,FAIL,14.9
2,12,1,FAIL,1.9
5,42,0,FAIL,0.54
4,30,0,FAIL,0.71
3,22,3,FAIL,1.89
2,7,1,FAIL,2.48
4,29,0,FAIL,0.5
3,26,0,FAIL,0.52
5,41,0,FAIL,0.66
2,14,0,FAIL,0.75
3,26,0,FAIL,0.49
4,31,0,FAIL,0.51
5,37,3,FAIL,1.87
3,26,0,FAIL,0.49
4,31,0,FAIL,0.53
5,38,3,FAIL,1.89
5,42,0,FAIL,0.78
4,26,1,FAIL,1.93
3,22,1,FAIL,2.15
5,42,0,FAIL,0.66
3,19,1,FAIL,2.23
4,25,1,FAIL,2.22
