modelname,stage,brick_remain,catch_count,state,run_sec
RandomForest_CL_acc=0.653,1,3,0,FAIL,0.86
RandomForest_CL_acc=0.653,1,0,4,FINISH,5.15
RandomForest_CL_acc=0.653,1,1,2,FAIL,2.87
RandomForest_CL_acc=0.653,1,3,0,FAIL,0.57
KNN_RE_k=5_rmse=17.12,1,0,7,FINISH,8.83
KNN_RE_k=5_rmse=17.12,1,0,7,FINISH,8
KNN_RE_k=5_rmse=17.12,1,1,8,FAIL,10.4
KNN_RE_k=5_rmse=17.12,1,1,9,FAIL,10.47
RandomForest_RE_rmse=11.90,1,3,2,FAIL,2.1
RandomForest_RE_rmse=11.90,1,0,2,FINISH,3.15
RandomForest_RE_rmse=11.90,1,0,6,FINISH,6.98
RandomForest_RE_rmse=11.90,1,2,9,FAIL,10.89
RandomForest_RE_rmse=11.90,1,5,1,FAIL,0.63
RandomForest_RE_rmse=11.90,1,3,0,FAIL,0.99
RandomForest_RE_rmse=11.90,1,0,4,FINISH,4.73
RandomForest_RE_rmse=11.90,1,0,6,FINISH,7.38
RandomForest_RE_rmse=11.90,1,5,0,FAIL,0.64
RandomForest_RE_rmse=11.90,1,0,3,FINISH,4.45
RandomForest_RE_rmse=11.90,1,3,9,FAIL,10.9
RandomForest_RE_rmse=11.90,1,1,3,FAIL,4.13
RandomForest_RE_rmse=11.90,1,3,0,FAIL,1.21
RandomForest_RE_rmse=11.90,1,3,2,FAIL,1.01
RandomForest_RE_rmse=11.90,1,1,5,FAIL,4.17
RandomForest_RE_rmse=11.90,1,1,9,FAIL,10.59
RandomForest_RE_rmse=11.90,1,3,2,FAIL,1.75
RandomForest_RE_rmse=11.90,1,5,2,FAIL,0.65
RandomForest_RE_rmse=11.90,1,0,6,FINISH,7.02
LogisticRegression_CL_acc=0.49,1,4,0,FAIL,1.22
LogisticRegression_CL_acc=0.49,1,4,0,FAIL,0.88
LogisticRegression_CL_acc=0.49,1,3,0,FAIL,0.99
LogisticRegression_CL_acc=0.49,1,4,0,FAIL,0.52
LogisticRegression_CL_acc=0.49,1,1,1,FAIL,2.68
LogisticRegression_CL_acc=0.49,1,1,1,FAIL,2.68
