stage,brick_remain,catch_count,state,run_sec
1,3,0,FAIL,0.86
1,0,4,FINISH,5.15
1,1,2,FAIL,2.87
1,3,0,FAIL,0.57
1,0,7,FINISH,8.83
1,0,7,FINISH,8
1,1,8,FAIL,10.4
1,1,9,FAIL,10.47
1,3,2,FAIL,2.1
1,0,2,FINISH,3.15
1,0,6,FINISH,6.98
1,2,9,FAIL,10.89
1,5,1,FAIL,0.63
1,3,0,FAIL,0.99
1,0,4,FINISH,4.73
1,0,6,FINISH,7.38
1,5,0,FAIL,0.64
1,0,3,FINISH,4.45
1,3,9,FAIL,10.9
1,1,3,FAIL,4.13
1,3,0,FAIL,1.21
1,3,2,FAIL,1.01
1,1,5,FAIL,4.17
1,1,9,FAIL,10.59
1,3,2,FAIL,1.75
1,5,2,FAIL,0.65
1,0,6,FINISH,7.02
1,4,0,FAIL,1.22
1,4,0,FAIL,0.88
1,3,0,FAIL,0.99
1,4,0,FAIL,0.52
1,1,1,FAIL,2.68
1,1,1,FAIL,2.68
1,3,1,FAIL,1.91
1,0,2,FINISH,2.7
2,13,1,FAIL,1.54
1,2,2,FAIL,2.44
5,33,4,FAIL,4.5
1,3,0,FAIL,1.27
1,3,3,FAIL,1.66
1,3,2,FAIL,1.48
1,3,1,FAIL,1.69
1,0,4,FINISH,3.88
1,0,19,FINISH,21.92
1,0,12,FINISH,13.68
1,0,3,FINISH,4.3
1,0,11,FINISH,12.84
1,0,9,FINISH,10.76
1,0,10,FINISH,11.11
1,0,12,FINISH,14.05
1,0,9,FINISH,10.76
1,0,7,FINISH,8.83
1,1,17,FAIL,20.27
1,0,14,FINISH,16.31
1,0,17,FINISH,19.59
1,0,5,FINISH,5.47
1,0,6,FINISH,6.88
5,42,0,FAIL,0.87
5,6,45,FAIL,52.53
5,1,47,FAIL,52.3
2,0,6,FINISH,7.25
5,0,10,FINISH,15.45
1,0,11,FINISH,13.18
1,0,6,FINISH,6.98
1,1,1,FAIL,2.26
1,0,8,FINISH,9.23
1,0,6,FINISH,6.98
1,0,7,FINISH,8.45
1,0,3,FINISH,3.88
1,0,3,FINISH,3.88
1,1,28,FAIL,32.86
1,0,11,FINISH,13.16
1,0,11,FINISH,13.18
1,0,3,FINISH,3.88
1,0,3,FINISH,3.71
1,0,3,FINISH,3.88
1,3,0,FAIL,1.29
1,3,1,FAIL,2.26
1,3,3,FAIL,2.12
1,4,1,FAIL,0.99
2,15,1,FAIL,0.89
2,13,1,FAIL,2.17
2,13,2,FAIL,2.65
2,3,2,FAIL,3.69
2,13,3,FAIL,1.77
2,11,3,FAIL,3.08
2,8,5,FAIL,4.55
2,15,0,FAIL,0.89
2,13,0,FAIL,1.29
2,13,3,FAIL,2.65
1,2,4,FAIL,3.26
1,3,2,FAIL,1.95
1,1,5,FAIL,4.99
1,0,3,FINISH,4.03
1,0,2,FINISH,2.71
1,3,0,FAIL,1.29
1,1,2,FAIL,3.54
1,0,4,FINISH,4.69
1,2,4,FAIL,3.26
1,0,4,FINISH,4.69
1,4,3,FAIL,2.12
1,3,0,FAIL,1.29
1,0,2,FINISH,3.2
1,1,3,FAIL,4.82
1,1,2,FAIL,3.54
1,4,1,FAIL,0.99
1,4,3,FAIL,2.12
1,0,2,FINISH,2.71
1,4,1,FAIL,0.99
1,3,0,FAIL,1.29
1,1,6,FAIL,6.13
1,1,2,FAIL,3.54
1,1,6,FAIL,6.13
1,3,0,FAIL,1.29
1,0,5,FINISH,6.45
1,2,4,FAIL,4.23
1,1,2,FAIL,3.54
1,2,4,FAIL,4.23
1,0,4,FINISH,4.69
1,4,0,FAIL,1.29
2,0,8,FINISH,8.42
2,0,8,FINISH,9.09
2,1,29,FAIL,33.51
2,0,6,FINISH,7.22
2,0,6,FINISH,7.67
2,0,11,FINISH,11.1
2,0,9,FINISH,10.83
2,0,5,FINISH,5.69
2,0,7,FINISH,7.85
2,0,11,FINISH,12.17
2,0,9,FINISH,10.83
2,0,6,FINISH,7.22
2,0,6,FINISH,7.25
2,0,12,FINISH,13.51
2,0,8,FINISH,9.07
2,0,6,FINISH,7.25
2,0,16,FINISH,18.17
2,0,9,FINISH,10.83
2,0,6,FINISH,7.22
2,0,12,FINISH,13.51
2,0,6,FINISH,7.22
2,1,27,FAIL,31.97
2,0,11,FINISH,11.1
2,0,6,FINISH,7.2
2,1,28,FAIL,32.79
2,0,7,FINISH,7.85
2,0,9,FINISH,10.83
2,1,28,FAIL,34.01
2,0,16,FINISH,18.17
2,0,6,FINISH,7.22
3,10,26,FAIL,32.03
3,1,31,FAIL,33.89
3,0,20,FINISH,21.39
3,0,18,FINISH,18.39
3,9,26,FAIL,30.24
3,0,21,FINISH,22.36
3,0,17,FINISH,19.77
3,6,27,FAIL,30.17
3,0,20,FINISH,22.91
3,7,26,FAIL,30.79
3,0,18,FINISH,19.19
3,0,16,FINISH,16.61
3,1,29,FAIL,34.23
3,0,17,FINISH,17.45
3,5,28,FAIL,33.71
3,0,18,FINISH,18.39
3,0,17,FINISH,17.45
3,1,30,FAIL,32.57
3,0,17,FINISH,17.45
3,4,24,FAIL,30.26
3,9,26,FAIL,30.24
3,0,15,FINISH,16.49
3,4,28,FAIL,33.41
3,7,27,FAIL,30.77
3,1,30,FAIL,32.69
3,9,28,FAIL,32.43
3,0,15,FINISH,17.49
3,9,26,FAIL,30.24
3,5,28,FAIL,33.71
3,0,18,FINISH,18.11
4,0,19,FINISH,21.34
4,0,27,FINISH,28.88
4,1,28,FAIL,32.39
4,0,13,FINISH,13.95
4,1,28,FAIL,32.39
4,0,18,FINISH,22.39
4,0,21,FINISH,21.71
4,0,16,FINISH,18.37
4,5,29,FAIL,31.95
4,0,27,FINISH,28.88
4,0,17,FINISH,21.7
4,0,22,FINISH,23.55
4,1,28,FAIL,32.53
4,2,30,FAIL,33.13
4,0,26,FINISH,27.77
4,1,27,FAIL,32.33
4,0,21,FINISH,23.47
4,0,17,FINISH,17.53
4,0,16,FINISH,18.37
4,0,25,FINISH,27.27
4,0,22,FINISH,26.1
4,3,29,FAIL,34.69
4,0,20,FINISH,21.69
4,0,18,FINISH,22.39
4,0,16,FINISH,17.73
4,5,26,FAIL,30.39
4,3,28,FAIL,31.97
4,5,27,FAIL,31.05
4,1,28,FAIL,32.53
4,0,22,FINISH,26.1
5,2,29,FAIL,31.78
5,0,26,FINISH,28
5,1,29,FAIL,32.81
5,0,20,FINISH,22.57
5,0,23,FINISH,23.53
5,1,31,FAIL,32.44
5,0,20,FINISH,22.57
5,7,26,FAIL,30.73
5,0,23,FINISH,23.53
5,0,27,FINISH,26.8
5,7,29,FAIL,36.71
5,2,25,FAIL,30.19
5,0,18,FINISH,18.77
5,0,23,FINISH,23.53
5,3,34,FAIL,39.25
5,0,25,FINISH,25.58
5,0,25,FINISH,26.53
5,0,26,FINISH,28
5,4,28,FAIL,31.77
5,3,27,FAIL,30.59
5,0,23,FINISH,23.79
5,0,26,FINISH,28
5,0,26,FINISH,28
5,0,21,FINISH,24.2
5,0,25,FINISH,25.55
5,2,30,FAIL,30.85
5,2,30,FAIL,30.85
5,0,27,FINISH,26.8
5,7,27,FAIL,30.63
5,0,26,FINISH,28
1,3,1,FAIL,1.89
2,2,6,FAIL,7.09
2,11,0,FAIL,1
2,5,2,FAIL,2.15
2,14,1,FAIL,1.57
2,8,2,FAIL,2.17
2,11,1,FAIL,2.12
2,5,3,FAIL,2.77
2,3,7,FAIL,5.75
2,14,2,FAIL,1.58
2,13,4,FAIL,2.56
2,12,2,FAIL,2.33
2,15,2,FAIL,0.66
2,7,1,FAIL,2.1
2,15,1,FAIL,0.65
2,5,3,FAIL,2.77
2,5,5,FAIL,4.21
2,4,5,FAIL,4.07
2,5,3,FAIL,3.7
2,3,6,FAIL,6.93
2,3,3,FAIL,4.27
2,3,1,FAIL,1.88
2,11,0,FAIL,1.01
